Doel;Doel_SOAtest;Screeningsprofiel;Screeningsprofiel_uitgeschreven;Screeningsprofiel_SOAtest;Doel toelichting;In functie;In naam Belanghebbende;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;Tot;FA1;FA2;FA3;FA4;FA5;FA6;FA7;FA8;FA9;FA10
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);25;(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;label=(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;;BOA;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);25;(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;label=(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;;buitengewoon opsporingsambtenaar;DJI;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);25;(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;label=(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;;monteur;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);25;(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;label=(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;;buitengewoon opsporingsambtenaar;NS Reizigers;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);25;(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;label=(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;;hoofdconducteur;Nederlandse Spoorwegen NV;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);25;(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;label=(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;;medewerker veiligheid;NS Reizigers;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);25;(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;label=(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;;conducteur;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);25;(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;label=(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;;administratief medewerker;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);25;(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;label=(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;;medewerker opsporing;Belastingdienst;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);25;(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;label=(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;;medewerker douane;Belastingdienst;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);25;(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;label=(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;;Gemeentelijk Opsporings Ambtenaar;Gemeente%;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);25;(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;label=(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;;gerechtsmedewerker;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);25;(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;label=(Buitengewoon) opsporingsambtenaar / (Special) enforcement officer;;Integraal toezichthouder;Gemeente%;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);45;Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;label=Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;;verzorgende;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;verzorgende;;11;12;41;42;85;;;;;;5;Bevoegdheid hebben tot het raadplegen en/of bewerken van systemen;Met gevoelige/vertrouwelijke informatie omgaan;Het verlenen van diensten (advies, beveiliging, schoonmaak, catering, onderhoud, etc.);#N/B;Belast zijn met de zorg voor (hulpbehoevende) personen, zoals ouderen en gehandicapten;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);45;Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;label=Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;;helpende;;85;;;;;;;;;;1;Belast zijn met de zorg voor (hulpbehoevende) personen, zoals ouderen en gehandicapten;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);45;Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;label=Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;;helpende zorg en welzijn;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;pedagogisch medewerker;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;stagiar;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;stagiare;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;vrijwilliger;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);60;Onderwijs / Education;label=Onderwijs / Education;;ZZP'er;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;ZZP'er;;84;86;;;;;;;;;2;Belast zijn met de zorg voor minderjarigen;Kinderopvang (alleen aanvinken in combinatie met andere functieaspecten);;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);45;Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;label=Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;;ZZP'er;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;bewindvoerder;;12;21;22;53;85;;;;;;5;Met gevoelige/vertrouwelijke informatie omgaan;Met contante en/of girale gelden en/of (digitale) waardepapieren omgaan;Budgetbevoegdheid hebben;Beslissen over offertes (het voeren van onderhandelingen en het afsluiten van contracten) en het doen van aanbestedingen;Belast zijn met de zorg voor (hulpbehoevende) personen, zoals ouderen en gehandicapten;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);95;Financiële dienstverlening / Financial services;label=Financiële dienstverlening / Financial services;;Bewindvoerder Wet Schuldsanering Natuurlijke Personen;Raad voor Rechtsbijstand, bureau WSNP;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);95;Financiële dienstverlening / Financial services;label=Financiële dienstverlening / Financial services;;Bewindvoerder Wsnp /beschermingsbewindvoerder;Raad voor Rechtsbijstand, bureau WSNP;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;benoeming tot beschermingsbewindvoerder;Rechtbank%;12;21;22;53;;;;;;;4;Met gevoelige/vertrouwelijke informatie omgaan;Met contante en/of girale gelden en/of (digitale) waardepapieren omgaan;Budgetbevoegdheid hebben;Beslissen over offertes (het voeren van onderhandelingen en het afsluiten van contracten) en het doen van aanbestedingen;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;Bewindvoerder / beheerder / Intaker;Rechtbank%;12;21;22;53;85;;;;;;5;Met gevoelige/vertrouwelijke informatie omgaan;Met contante en/of girale gelden en/of (digitale) waardepapieren omgaan;Budgetbevoegdheid hebben;Beslissen over offertes (het voeren van onderhandelingen en het afsluiten van contracten) en het doen van aanbestedingen;Belast zijn met de zorg voor (hulpbehoevende) personen, zoals ouderen en gehandicapten;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;assistent bewindvoerder, bewindvoerder;;11;12;21;22;53;;;;;;5;Bevoegdheid hebben tot het raadplegen en/of bewerken van systemen;Met gevoelige/vertrouwelijke informatie omgaan;Met contante en/of girale gelden en/of (digitale) waardepapieren omgaan;Budgetbevoegdheid hebben;Beslissen over offertes (het voeren van onderhandelingen en het afsluiten van contracten) en het doen van aanbestedingen;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);95;Financiële dienstverlening / Financial services;label=Financiële dienstverlening / Financial services;;artikel 2 van besluit kwaliteitseisen curatoren, bewindvoerders en mentoren;Landelijk Bureau CBM;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;Bezoeker Compassion-project;Stichting Compassion Nederland;84;;;;;;;;;;1;Belast zijn met de zorg voor minderjarigen;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;verkeersregelaar;;41;;;;;;;;;;1;Het verlenen van diensten (advies, beveiliging, schoonmaak, catering, onderhoud, etc.);;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;medewerker sortering;;37;;;;;;;;;;1;Het beschikken over goederen;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;tolk;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;taxichauffeur;;63;;;;;;;;;;1;(Rijdend) vervoer waarbij personen worden vervoerd;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;koerier;;62;;;;;;;;;;1;(Rijdend) vervoer waarbij goederen, producten, post en pakketten worden getransporteerd en/of bezorgd, anders dan het intern transport binnen een bedrijf;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);55;Juridische dienstverlening / Legal services;label=Juridische dienstverlening / Legal services;;advocaat;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;verkeersleider;;11;12;;;;;;;;;2;Bevoegdheid hebben tot het raadplegen en/of bewerken van systemen;Met gevoelige/vertrouwelijke informatie omgaan;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);;;;verkeersregelaarspas;;;71;81;;;;;;;;;2;Personen die vanuit hun functie mensen en/of een organisatie (of een deel daarvan) aansturen;#N/B;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);65;"Taxibranche; chauffeurskaart / Taxi industry; taxi driver’s permit";"label=Taxibranche; chauffeurskaart / Taxi industry; taxi driver’s permit";chauffeurskaart;;KIWA Register B.V.;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);65;"Taxibranche; chauffeurskaart / Taxi industry; taxi driver’s permit";"label=Taxibranche; chauffeurskaart / Taxi industry; taxi driver’s permit";chauffeurskaart BCT;;KIWA Register B.V.;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);70;"Taxibranche; ondernemersvergunning / Taxi industry; operator’s licence";"label=Taxibranche; ondernemersvergunning / Taxi industry; operator’s licence";ondernemersvergunning;;KIWA Register B.V.;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);;;;wegvervoerondernemer personenvervoer;;KIWA Register B.V.;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);50;Exploitatievergunning / Operating licence;label=Exploitatievergunning / Operating licence;Exploitatievergunning;;Gemeente%;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);50;Exploitatievergunning / Operating licence;label=Exploitatievergunning / Operating licence;aanvraag exploitatievergunning horecabedrijf;;Gemeente%;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);6;Visum en emigratie / Visa and emigration;label=Visum en emigratie / Visa and emigration;visum en emigratie;;autoriteiten van%;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);6;Visum en emigratie / Visa and emigration;label=Visum en emigratie / Visa and emigration;visum;;autoriteiten van%;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);6;Visum en emigratie / Visa and emigration;label=Visum en emigratie / Visa and emigration;emigratie;;autoriteiten van%;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);6;Visum en emigratie / Visa and emigration;label=Visum en emigratie / Visa and emigration;visum;;gevolmagtigde kabinet van%;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);6;Visum en emigratie / Visa and emigration;label=Visum en emigratie / Visa and emigration;emigratie;;gevolmagtigde kabinet van%;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);6;Visum en emigratie / Visa and emigration;label=Visum en emigratie / Visa and emigration;werkvergunning;;de autoriteiten van%;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);6;Visum en emigratie / Visa and emigration;label=Visum en emigratie / Visa and emigration;werkvergunning;;gevolmagtigde kabinet van%;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);6;Visum en emigratie / Visa and emigration;label=Visum en emigratie / Visa and emigration;stage;;;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);6;Visum en emigratie / Visa and emigration;label=Visum en emigratie / Visa and emigration;afstand doen van de%;;autoriteiten van%;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);6;Visum en emigratie / Visa and emigration;label=Visum en emigratie / Visa and emigration;afstand doen van de%;;gevolmagtigde kabinet van%;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);6;Visum en emigratie / Visa and emigration;label=Visum en emigratie / Visa and emigration;het verkrijgen van de%;;autoriteiten van%;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);6;Visum en emigratie / Visa and emigration;label=Visum en emigratie / Visa and emigration;het verkrijgen van de%;;gevolmagtigde kabinet van%;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);6;Visum en emigratie / Visa and emigration;label=Visum en emigratie / Visa and emigration;Bezoek aan gedetineerden in het buitenland;;autoriteiten van%;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);6;Visum en emigratie / Visa and emigration;label=Visum en emigratie / Visa and emigration;Bezoek aan gedetineerden in het buitenland;;gevolmagtigde kabinet van%;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);;;;het oprichten van een onderneming;;autoriteiten van%;12;21;22;37;53;62;71;;;;7;Met gevoelige/vertrouwelijke informatie omgaan;Met contante en/of girale gelden en/of (digitale) waardepapieren omgaan;Budgetbevoegdheid hebben;Het beschikken over goederen;Beslissen over offertes (het voeren van onderhandelingen en het afsluiten van contracten) en het doen van aanbestedingen;(Rijdend) vervoer waarbij goederen, producten, post en pakketten worden getransporteerd en/of bezorgd, anders dan het intern transport binnen een bedrijf;Personen die vanuit hun functie mensen en/of een organisatie (of een deel daarvan) aansturen;;;
Overig (COVOG NP);label=Overig (COVOG NP);;;;het oprichten van een onderneming;;gevolmagtigde kabinet van%;12;21;22;37;53;62;71;;;;7;Met gevoelige/vertrouwelijke informatie omgaan;Met contante en/of girale gelden en/of (digitale) waardepapieren omgaan;Budgetbevoegdheid hebben;Het beschikken over goederen;Beslissen over offertes (het voeren van onderhandelingen en het afsluiten van contracten) en het doen van aanbestedingen;(Rijdend) vervoer waarbij goederen, producten, post en pakketten worden getransporteerd en/of bezorgd, anders dan het intern transport binnen een bedrijf;Personen die vanuit hun functie mensen en/of een organisatie (of een deel daarvan) aansturen;;;
Overig (COVOG NP);label=Overig (COVOG NP);;;;wegvervoerondernemer goederenvervoer;;NIWO;12;22;53;62;71;;;;;;5;Met gevoelige/vertrouwelijke informatie omgaan;Budgetbevoegdheid hebben;Beslissen over offertes (het voeren van onderhandelingen en het afsluiten van contracten) en het doen van aanbestedingen;(Rijdend) vervoer waarbij goederen, producten, post en pakketten worden getransporteerd en/of bezorgd, anders dan het intern transport binnen een bedrijf;Personen die vanuit hun functie mensen en/of een organisatie (of een deel daarvan) aansturen;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);;;;vergunning beroepsgoederenvervoer;;NIWO;12;22;53;62;71;;;;;;5;Met gevoelige/vertrouwelijke informatie omgaan;Budgetbevoegdheid hebben;Beslissen over offertes (het voeren van onderhandelingen en het afsluiten van contracten) en het doen van aanbestedingen;(Rijdend) vervoer waarbij goederen, producten, post en pakketten worden getransporteerd en/of bezorgd, anders dan het intern transport binnen een bedrijf;Personen die vanuit hun functie mensen en/of een organisatie (of een deel daarvan) aansturen;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);;;;eurovergunning;;NIWO;12;22;53;62;71;;;;;;5;Met gevoelige/vertrouwelijke informatie omgaan;Budgetbevoegdheid hebben;Beslissen over offertes (het voeren van onderhandelingen en het afsluiten van contracten) en het doen van aanbestedingen;(Rijdend) vervoer waarbij goederen, producten, post en pakketten worden getransporteerd en/of bezorgd, anders dan het intern transport binnen een bedrijf;Personen die vanuit hun functie mensen en/of een organisatie (of een deel daarvan) aansturen;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);40;Vakantiegezinnen en adoptie / Holiday host family and adoption;label=Vakantiegezinnen en adoptie / Holiday host family and adoption;;;interlandelijke adoptie;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);;;;inschrijving in beroepsregister;;Stichting Kwaliteitsregister Jeugd;12;41;43;84;85;;;;;;5;Met gevoelige/vertrouwelijke informatie omgaan;Het verlenen van diensten (advies, beveiliging, schoonmaak, catering, onderhoud, etc.);Het verlenen van diensten in de persoonlijke leefomgeving;Belast zijn met de zorg voor minderjarigen;Belast zijn met de zorg voor (hulpbehoevende) personen, zoals ouderen en gehandicapten;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);95;Financiële dienstverlening / Financial services;label=Financiële dienstverlening / Financial services;Inschrijving in register ter bewaking kwaliteit;;Stichting VRT Verenigd register van taxateurs;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);95;Financiële dienstverlening / Financial services;label=Financiële dienstverlening / Financial services;inschrijving in het register van Register Valuators;;Nederlands instituut voor Register Valuators (NIRV);;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);;;;inschrijving in het accountantsregister ;;Koninklijke Nederlandse beroepsorganisatie van Accountants (NBA);11;12;13;21;22;37;41;43;53;71;10;Bevoegdheid hebben tot het raadplegen en/of bewerken van systemen;Met gevoelige/vertrouwelijke informatie omgaan;Kennis dragen van veiligheidssystemen, controlemechanismen en verificatieprocessen;Met contante en/of girale gelden en/of (digitale) waardepapieren omgaan;Budgetbevoegdheid hebben;Het beschikken over goederen;Het verlenen van diensten (advies, beveiliging, schoonmaak, catering, onderhoud, etc.);Het verlenen van diensten in de persoonlijke leefomgeving;Beslissen over offertes (het voeren van onderhandelingen en het afsluiten van contracten) en het doen van aanbestedingen;Personen die vanuit hun functie mensen en/of een organisatie (of een deel daarvan) aansturen
Overig (COVOG NP);label=Overig (COVOG NP);80;Beëdigd tolken/vertalers / Sworn interpreters/translators;label=Beëdigd tolken/vertalers / Sworn interpreters/translators;inschrijving als tolk of vertaler;;;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);95;Financiële dienstverlening / Financial services;label=Financiële dienstverlening / Financial services;inschrijving in het register;;Landelijk Register Gerechtelijke Deskundigen LRGD;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);45;Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;label=Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;inschrijving in het therapeutenregister;;Nederlandse Associatie voor Psychotherapie;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);;;;inschrijving in het register;;Nederlandse Orde van Register EDP-Auditors;11;12;13;21;22;37;41;43;53;7;10;Bevoegdheid hebben tot het raadplegen en/of bewerken van systemen;Met gevoelige/vertrouwelijke informatie omgaan;Kennis dragen van veiligheidssystemen, controlemechanismen en verificatieprocessen;Met contante en/of girale gelden en/of (digitale) waardepapieren omgaan;Budgetbevoegdheid hebben;Het beschikken over goederen;Het verlenen van diensten (advies, beveiliging, schoonmaak, catering, onderhoud, etc.);Het verlenen van diensten in de persoonlijke leefomgeving;Beslissen over offertes (het voeren van onderhandelingen en het afsluiten van contracten) en het doen van aanbestedingen;#N/B
Overig (COVOG NP);label=Overig (COVOG NP);;;;rijnpatent;;CBR;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);85;Lidmaatschap schietvereniging / Membership of shooting club;label=Lidmaatschap schietvereniging / Membership of shooting club;lidmaatschap schietvereniging;;;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);85;Lidmaatschap schietvereniging / Membership of shooting club;label=Lidmaatschap schietvereniging / Membership of shooting club;lidmaatschap airsoftbond;;Nederlandse Airsoft Belangen Vereniging;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);85;Lidmaatschap schietvereniging / Membership of shooting club;label=Lidmaatschap schietvereniging / Membership of shooting club;Jachtakte;;;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);;;;lidmaatschap;;BOVAG Rijscholen;21;22;53;61;63;84;;;;;6;Met contante en/of girale gelden en/of (digitale) waardepapieren omgaan;Budgetbevoegdheid hebben;Beslissen over offertes (het voeren van onderhandelingen en het afsluiten van contracten) en het doen van aanbestedingen;Het onderhouden/ombouwen/bedienen van (productie)machines en/of apparaten, voertuigen en/of luchtvaartuigen;(Rijdend) vervoer waarbij personen worden vervoerd;Belast zijn met de zorg voor minderjarigen;;;;
Overig (COVOG NP);label=Overig (COVOG NP);85;Lidmaatschap schietvereniging / Membership of shooting club;label=Lidmaatschap schietvereniging / Membership of shooting club;Lid airsoftsportbond;;Nederlandse Airsoft Belangen Vereniging;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);85;Lidmaatschap schietvereniging / Membership of shooting club;label=Lidmaatschap schietvereniging / Membership of shooting club;sportschutter;;;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);;;;opleiding veiligheid & vakmanschap;;;11;12;37;41;;;;;;;4;Bevoegdheid hebben tot het raadplegen en/of bewerken van systemen;Met gevoelige/vertrouwelijke informatie omgaan;Het beschikken over goederen;Het verlenen van diensten (advies, beveiliging, schoonmaak, catering, onderhoud, etc.);;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);;;;opleiding handhaver toezicht en veiligheid;;;11;12;37;41;;;;;;;4;Bevoegdheid hebben tot het raadplegen en/of bewerken van systemen;Met gevoelige/vertrouwelijke informatie omgaan;Het beschikken over goederen;Het verlenen van diensten (advies, beveiliging, schoonmaak, catering, onderhoud, etc.);;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);;;;opleiding Helpende Zorg en Welzijn;;;84;86;;;;;;;;;2;Belast zijn met de zorg voor minderjarigen;Kinderopvang (alleen aanvinken in combinatie met andere functieaspecten);;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);45;Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;label=Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;arts in opleiding tot specialist;;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);60;Onderwijs / Education;label=Onderwijs / Education;docent in opleiding;;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);45;Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;label=Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;arts in opleiding ;;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);45;Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;label=Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;huisarts in opleiding;;;;;;;;;;;;;0;;;;;;;;;;
